year,island,month,Totalamount
1992,KAUA'I,Apr,93797.28
1992,KAUA'I,May,98215.93
1992,KAUA'I,Jun,102138.63
1992,KAUA'I,Jul,110821.58
1992,KAUA'I,Aug,108263.69
1992,KAUA'I,Sep,49725.16
1992,KAUA'I,Oct,16187.14
1992,KAUA'I,Nov,21154.36
1992,KAUA'I,Dec,25115.42
1992,HAWAI'I ISLAND,Jan,94132.73
1992,HAWAI'I ISLAND,Feb,79322.53
1992,HAWAI'I ISLAND,Mar,89798.92
1992,HAWAI'I ISLAND,Apr,88855.12
1992,HAWAI'I ISLAND,May,86430.64
1992,HAWAI'I ISLAND,Jun,98135.10
1992,HAWAI'I ISLAND,Jul,98208.17
1992,HAWAI'I ISLAND,Aug,90332.64
1992,HAWAI'I ISLAND,Sep,85799.56
1992,HAWAI'I ISLAND,Oct,115369.38
1992,HAWAI'I ISLAND,Nov,108965.37
1992,HAWAI'I ISLAND,Dec,104628.16
1993,O'AHU,Jan,387528.45
1993,O'AHU,Feb,340022.39
1993,O'AHU,Mar,385435.90
1993,O'AHU,Apr,340057.71
1993,O'AHU,May,362777.30
1993,O'AHU,Jun,372663.27
1993,O'AHU,Jul,423477.14
1993,O'AHU,Aug,424620.04
1993,O'AHU,Sep,349246.70
1993,O'AHU,Oct,342879.76
1993,O'AHU,Nov,349498.63
1993,O'AHU,Dec,394027.40
1993,MAUI,Jan,186953.00
1993,MAUI,Feb,193383.58
1993,MAUI,Mar,204011.00
1993,MAUI,Apr,193076.49
1993,MAUI,May,171428.11
1993,MAUI,Jun,180418.18
1993,MAUI,Jul,190082.10
1993,MAUI,Aug,194777.45
1993,MAUI,Sep,169905.59
1993,MAUI,Oct,190954.84
1993,MAUI,Nov,171927.85
1993,MAUI,Dec,165211.06
1993,MOLOKA'I,Jan,12681.39
1993,MOLOKA'I,Feb,9414.75
1993,MOLOKA'I,Mar,8981.33
1993,MOLOKA'I,Apr,7508.89
1993,MOLOKA'I,May,6481.79
1993,MOLOKA'I,Jun,8414.98
1993,MOLOKA'I,Jul,7394.94
1993,MOLOKA'I,Aug,6322.85
1993,MOLOKA'I,Sep,7808.67
1993,MOLOKA'I,Oct,6641.56
1993,MOLOKA'I,Nov,6124.53
1993,MOLOKA'I,Dec,6403.71
1993,LĀNA'I,Jan,6947.09
1993,LĀNA'I,Feb,7129.41
1993,LĀNA'I,Mar,7232.12
1993,LĀNA'I,Apr,5983.76
1993,LĀNA'I,May,5663.75
1993,LĀNA'I,Jun,6715.22
1993,LĀNA'I,Jul,5307.92
1993,LĀNA'I,Aug,5351.36
1993,LĀNA'I,Sep,6646.19
1993,LĀNA'I,Oct,5945.09
1993,LĀNA'I,Nov,5194.45
1993,LĀNA'I,Dec,4929.55
1993,KAUA'I,Jan,32160.01
1993,KAUA'I,Feb,31398.60
1993,KAUA'I,Mar,43407.53
1993,KAUA'I,Apr,40840.56
1993,KAUA'I,May,39504.81
1993,KAUA'I,Jun,54815.21
1993,KAUA'I,Jul,55149.50
1993,KAUA'I,Aug,52074.26
1993,KAUA'I,Sep,53883.13
1993,KAUA'I,Oct,57540.52
1993,KAUA'I,Nov,58885.80
1993,KAUA'I,Dec,56705.76
1993,HAWAI'I ISLAND,Jan,111850.90
1993,HAWAI'I ISLAND,Feb,95260.13
1993,HAWAI'I ISLAND,Mar,102055.20
