country,year,pop,island,month,Totalamount
any,1992,1,MAUI CTY,Feb,188204.21
any,1992,1,MAUI CTY,Mar,193580.60
any,1992,1,MAUI CTY,Apr,183106.64
any,1992,1,MAUI CTY,May,182811.83
any,1992,1,MAUI CTY,Jun,200444.26
any,1992,1,MAUI CTY,Jul,204781.12
any,1992,1,MAUI CTY,Aug,201781.89
any,1992,1,MAUI CTY,Sep,177390.30
any,1992,1,MAUI CTY,Oct,212832.36
any,1992,1,MAUI CTY,Nov,205873.15
any,1992,1,MAUI CTY,Dec,203014.82
any,1992,1,MAUI,Jan,165470.32
any,1992,1,MAUI,Feb,182650.66
any,1992,1,MAUI,Mar,188367.26
any,1992,1,MAUI,Apr,178726.30
any,1992,1,MAUI,May,178739.02
any,1992,1,MAUI,Jun,196158.12
any,1992,1,MAUI,Jul,200546.61
any,1992,1,MAUI,Aug,197346.15
any,1992,1,MAUI,Sep,170972.66
any,1992,1,MAUI,Oct,208985.69
any,1992,1,MAUI,Nov,201249.52
any,1992,1,MAUI,Dec,197807.75
any,1992,1,MOLOKA'I,Jan,10418.35
any,1992,1,MOLOKA'I,Feb,8306.77
any,1992,1,MOLOKA'I,Mar,9591.33
any,1992,1,MOLOKA'I,Apr,8759.69
any,1992,1,MOLOKA'I,May,8278.54
any,1992,1,MOLOKA'I,Jun,10097.55
any,1992,1,MOLOKA'I,Jul,10886.25
any,1992,1,MOLOKA'I,Aug,8877.51
any,1992,1,MOLOKA'I,Sep,9109.35
any,1992,1,MOLOKA'I,Oct,10078.02
any,1992,1,MOLOKA'I,Nov,11021.39
any,1992,1,MOLOKA'I,Dec,10258.81
any,1992,1,LĀNA'I,Jan,6861.46
any,1992,1,LĀNA'I,Feb,6116.86
any,1992,1,LĀNA'I,Mar,7309.40
any,1992,1,LĀNA'I,Apr,6311.95
any,1992,1,LĀNA'I,May,6031.50
any,1992,1,LĀNA'I,Jun,6284.90
any,1992,1,LĀNA'I,Jul,7061.94
any,1992,1,LĀNA'I,Aug,6592.20
any,1992,1,LĀNA'I,Sep,6494.70
